epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1697,1.18313,1.19065,1.07323,0.92676,0.92591,0.97122,0.71778,0.99251,1.50656,1.0015,0.00018,0.00018,0.00018
2,164.021,1.18498,1.16557,1.06266,0.9187,0.89634,0.9547,0.62512,1.23692,1.2142,1.07162,0.00036746,0.00036746,0.00036746
3,241.45,1.20277,1.09137,1.05662,0.93532,0.88178,0.9622,0.65528,1.13643,1.0322,1.06232,0.00054172,0.00054172,0.00054172
4,319.619,1.18017,1.11619,1.06366,0.88562,0.89634,0.95042,0.66313,1.1392,0.97027,1.04559,0.00070278,0.00070278,0.00070278
5,403.821,1.15054,1.12153,1.04461,0.92505,0.89634,0.94744,0.6301,1.18191,1.26518,1.05915,0.00085064,0.00085064,0.00085064
6,483.541,1.29647,1.13414,1.11471,0.85857,0.85136,0.91785,0.59616,1.22171,1.13487,1.08382,0.0009853,0.0009853,0.0009853
7,567.279,1.23962,1.15419,1.0732,0.89586,0.89634,0.94309,0.63228,1.16779,1.11315,1.04685,0.00110676,0.00110676,0.00110676
8,642.724,1.27199,1.09305,1.08555,0.83822,0.88463,0.90171,0.53536,1.27761,1.366,1.11316,0.00121502,0.00121502,0.00121502
9,720.574,1.22497,1.09765,1.07766,0.93997,0.78659,0.92972,0.60405,1.20166,1.05495,1.11045,0.00131008,0.00131008,0.00131008
10,801.32,1.21961,1.09214,1.09903,0.9138,0.90501,0.95051,0.65471,1.10983,0.94911,1.07491,0.00139194,0.00139194,0.00139194
11,876.664,1.23101,1.11394,1.07704,0.95548,0.84146,0.94161,0.63676,1.05871,0.94019,1.04203,0.00134,0.00134,0.00134
12,956.628,1.20459,1.10278,1.08483,0.93452,0.90854,0.95575,0.66421,1.1518,0.8852,1.0507,0.001274,0.001274,0.001274
13,1040.63,1.12219,0.98059,1.04651,0.91753,0.90854,0.95586,0.68364,1.05759,0.83158,1.01602,0.001208,0.001208,0.001208
14,1114.83,1.13871,0.97902,1.04224,0.96096,0.90047,0.97279,0.66243,1.16528,0.86363,1.08364,0.001142,0.001142,0.001142
15,1192.71,1.06707,0.92227,1.02619,0.90646,0.94548,0.97141,0.69387,1.04644,0.79255,1.03694,0.001076,0.001076,0.001076
16,1268.9,1.10102,0.90239,1.05651,0.9461,0.95122,0.97661,0.72571,0.97675,0.82572,0.98779,0.00101,0.00101,0.00101
17,1342.28,1.15225,0.88079,1.02711,0.93188,0.91463,0.96099,0.64958,1.08137,0.99957,1.04059,0.000944,0.000944,0.000944
18,1407.09,1.07795,0.88687,1.01311,0.97722,0.89024,0.97553,0.70577,1.00032,0.80289,1.0039,0.000878,0.000878,0.000878
19,1479.77,1.07011,0.84036,1.01775,0.96187,0.95122,0.98416,0.70962,1.01476,0.72059,1.01679,0.000812,0.000812,0.000812
20,1546.43,1.07508,0.853,1.04242,0.94697,0.94512,0.97522,0.73929,0.91975,0.6994,0.98196,0.000746,0.000746,0.000746
21,1611.01,1.03795,0.91413,1.03016,0.96403,0.93293,0.97312,0.73129,0.92387,0.77612,0.97305,0.00068,0.00068,0.00068
22,1675.02,1.05824,0.89463,1.01306,0.97871,0.95732,0.97747,0.72138,0.98272,0.67936,0.98623,0.000614,0.000614,0.000614
23,1738.43,1.00032,0.79777,0.98939,0.94833,0.97561,0.97918,0.75675,0.87917,0.64844,0.95245,0.000548,0.000548,0.000548
24,1802.98,0.9789,0.82009,0.98543,0.96944,0.96341,0.98252,0.75326,0.8711,0.64161,0.95137,0.000482,0.000482,0.000482
25,1872.85,0.9357,0.80014,0.94436,0.98152,0.9714,0.98305,0.74907,0.90149,0.61841,0.95586,0.000416,0.000416,0.000416
26,1945.51,0.88695,0.74446,0.96345,0.9642,0.98545,0.98299,0.77521,0.80169,0.57682,0.92695,0.00035,0.00035,0.00035
27,2017.95,0.88333,0.70235,0.95397,0.96961,0.9878,0.98424,0.7738,0.80193,0.57076,0.92853,0.000284,0.000284,0.000284
28,2093.47,0.91266,0.73366,0.94949,0.98734,0.9878,0.98493,0.78362,0.78371,0.54566,0.92514,0.000218,0.000218,0.000218
29,2157.94,0.89865,0.71703,0.96125,0.99184,0.9878,0.98494,0.79383,0.75187,0.52576,0.91756,0.000152,0.000152,0.000152
30,2221.39,0.82563,0.66763,0.91534,0.99364,0.9878,0.98494,0.80972,0.72708,0.51171,0.91237,8.6e-05,8.6e-05,8.6e-05
